name,count,latitude,longitude
2021S051210010357,299.0,47.588521,-52.726884
2021S051210010457,460.0,47.523518,-52.769016
2021S051210010458,530.0,47.525596,-52.764392
2021S051210010459,468.0,47.527342,-52.766775
2021S051210010460,526.0,47.527607,-52.756861
2021S051210010461,346.0,47.530612,-52.763013
2021S051210010482,836.0,47.574911,-52.701186
2021S051210010484,760.0,47.531827,-52.754171
2021S051210010485,502.0,47.601263,-52.697444
2021S051210010486,1193.0,47.575262,-52.687671
2021S051210010488,561.0,47.537854,-52.743768
2021S051210010489,270.0,47.535731,-52.741332
2021S051210010490,475.0,47.533197,-52.740331
2021S051210010491,1003.0,47.49716,-52.757806
2021S051210010492,588.0,47.509802,-52.755571
2021S051210010493,362.0,47.513588,-52.747006
2021S051210010494,381.0,47.509152,-52.7518
2021S051210010495,326.0,47.506416,-52.752486
2021S051210010496,347.0,48.095252,-52.886434
2021S051210010497,425.0,48.113706,-52.929678
2021S051210010498,608.0,48.085709,-53.000543
2021S051210010499,242.0,47.956456,-53.16063
2021S051210010500,508.0,47.950589,-53.064646
2021S051210010501,276.0,47.877396,-53.145447
2021S051210010502,414.0,47.84713,-53.109932
2021S051210010503,222.0,47.880455,-53.066173
2021S051210010504,328.0,47.765302,-53.17415
2021S051210010505,764.0,47.779673,-53.176123
2021S051210010506,463.0,47.760924,-53.235708
2021S051210010507,376.0,47.768587,-53.226338
2021S051210010508,443.0,47.778488,-53.239438
2021S051210010509,376.0,47.771322,-53.255967
2021S051210010510,364.0,47.743973,-53.22233
2021S051210010511,417.0,47.742848,-53.216665
2021S051210010512,430.0,47.742598,-53.209698
2021S051210010513,348.0,47.739368,-53.210512
2021S051210010514,376.0,47.736789,-53.232522
2021S051210010515,514.0,47.73851,-53.239126
2021S051210010516,415.0,47.731806,-53.239959
2021S051210010517,682.0,47.727689,-53.243531
2021S051210010518,742.0,47.723045,-53.229703
2021S051210010519,408.0,47.72633,-53.221661
2021S051210010520,320.0,47.713809,-53.210237
2021S051210010521,411.0,47.701402,-53.210129
2021S051210010522,416.0,47.693318,-53.217463
2021S051210010523,432.0,47.686606,-53.232946
2021S051210010524,393.0,47.692548,-53.228674
2021S051210010525,439.0,47.679426,-53.251646
2021S051210010526,323.0,47.660905,-53.269578
2021S051210010527,382.0,47.663361,-53.244489
2021S051210010528,0.0,47.655022,-53.239442
2021S051210010529,400.0,47.651012,-53.220439
2021S051210010530,358.0,47.643275,-53.229543
2021S051210010531,252.0,47.63957,-53.221287
2021S051210010532,305.0,47.648391,-53.206655
2021S051210010533,338.0,47.653612,-53.207109
2021S051210010534,343.0,47.672742,-53.192708
2021S051210010535,721.0,47.601056,-53.253443
2021S051210010536,576.0,47.599162,-53.249665
2021S051210010537,723.0,47.591346,-53.266803
2021S051210010538,475.0,47.589932,-53.277881
2021S051210010539,571.0,47.580172,-53.271207
2021S051210010540,794.0,47.581945,-53.288706
2021S051210010541,446.0,47.588537,-53.298987
2021S051210010542,552.0,47.584714,-53.317085
2021S051210010543,574.0,47.574584,-53.312858
2021S051210010544,542.0,47.568917,-53.288142
2021S051210010545,0.0,47.556113,-53.302736
2021S051210010546,579.0,47.538857,-53.320168
2021S051210010547,841.0,47.520775,-53.317875
2021S051210010548,559.0,47.546633,-53.282089
2021S051210010549,674.0,47.529076,-53.272645
2021S051210010550,365.0,47.532085,-53.247306
2021S051210010551,376.0,47.526574,-53.227774
2021S051210010552,323.0,47.535515,-53.215139
2021S051210010553,334.0,47.552335,-53.232806
2021S051210010554,486.0,47.586517,-53.211802
2021S051210010555,388.0,47.57595,-53.241191
2021S051210010556,264.0,47.606894,-52.979982
2021S051210010557,356.0,47.499652,-53.224957
2021S051210010558,406.0,47.48662,-53.222026
2021S051210010559,281.0,47.457036,-53.200479
2021S051210010560,613.0,47.455985,-53.230721
2021S051210010561,343.0,47.43018,-53.232164
2021S051210010562,584.0,47.396746,-53.222585
2021S051210010563,492.0,47.417063,-53.16507
2021S051210010564,540.0,47.386971,-53.16212
2021S051210010565,516.0,47.409715,-53.14512
2021S051210010566,573.0,47.437588,-53.159614
2021S051210010567,570.0,47.429146,-53.105764
2021S051210010568,626.0,47.45632,-53.089234
2021S051210010569,490.0,47.45945,-53.078101
2021S051210010570,732.0,47.464203,-53.062729
2021S051210010571,463.0,47.453782,-53.056046
2021S051210010572,1517.0,47.48036,-53.043808
2021S051210010573,1302.0,47.488299,-53.042465
2021S051210010574,440.0,47.486613,-53.033027
2021S051210010575,1553.0,47.483969,-53.009082
2021S051210010576,797.0,47.488993,-53.021737
2021S051210010577,415.0,47.494882,-53.019905
2021S051210010578,578.0,47.49797,-53.025975
2021S051210010579,920.0,47.507131,-53.008583
2021S051210010580,616.0,47.499168,-53.010735
2021S051210010581,656.0,47.496998,-53.003243
2021S051210010582,633.0,47.500036,-52.998716
2021S051210010583,655.0,47.49935,-52.993215
2021S051210010584,1029.0,47.498449,-52.988788
2021S051210010585,665.0,47.501509,-52.983025
2021S051210010586,714.0,47.505079,-52.979056
2021S051210010587,304.0,47.512086,-52.971171
2021S051210010588,638.0,47.508594,-52.968819
2021S051210010589,1316.0,47.514578,-52.953993
2021S051210010590,742.0,47.522146,-52.956801
2021S051210010591,679.0,47.511475,-52.990952
2021S051210010592,496.0,47.496963,-52.954079
2021S051210010593,551.0,47.512772,-52.933258
2021S051210010594,422.0,47.513716,-52.92976
2021S051210010595,418.0,47.517607,-52.932903
2021S051210010596,490.0,47.520342,-52.931335
2021S051210010597,461.0,47.518457,-52.937771
2021S051210010598,657.0,47.526054,-52.939727
2021S051210010599,615.0,47.529572,-52.934869
2021S051210010600,618.0,47.53248,-52.93226
2021S051210010601,483.0,47.53708,-52.932529
2021S051210010602,1162.0,47.533634,-52.943664
2021S051210010603,563.0,47.530442,-52.942523
2021S051210010604,529.0,47.535451,-52.92272
2021S051210010605,549.0,47.524456,-52.914604
2021S051210010607,1324.0,47.540191,-52.89134
2021S051210010608,2399.0,47.531691,-52.885027
2021S051210010610,1094.0,47.534026,-52.873772
2021S051210010611,195.0,47.534001,-52.863034
2021S051210010614,384.0,47.539978,-52.852027
2021S051210010617,2909.0,47.539197,-52.832304
2021S051210010618,610.0,47.536047,-52.832565
2021S051210010619,546.0,47.540549,-52.841484
2021S051210010620,994.0,47.533454,-52.810546
2021S051210010621,623.0,47.530264,-52.811658
2021S051210010622,586.0,47.527396,-52.808073
2021S051210010623,655.0,47.524218,-52.814211
2021S051210010624,391.0,47.521325,-52.814677
2021S051210010625,383.0,47.519267,-52.814148
2021S051210010626,375.0,47.517943,-52.809638
2021S051210010627,414.0,47.515438,-52.810456
2021S051210010628,349.0,47.517682,-52.804147
2021S051210010629,1010.0,47.511893,-52.81685
2021S051210010630,338.0,47.515858,-52.815229
2021S051210010631,218.0,47.514676,-52.818842
2021S051210010632,695.0,47.51993,-52.825509
2021S051210010633,685.0,47.520257,-52.821359
2021S051210010634,701.0,47.520959,-52.833033
2021S051210010635,414.0,47.51734,-52.829126
2021S051210010636,846.0,47.514154,-52.824414
2021S051210010637,659.0,47.502568,-52.815082
2021S051210010638,455.0,47.509638,-52.804533
2021S051210010639,374.0,47.509975,-52.814922
2021S051210010640,359.0,47.510873,-52.812263
2021S051210010641,393.0,47.509673,-52.807645
2021S051210010642,465.0,47.512029,-52.802635
2021S051210010643,555.0,47.514825,-52.795634
2021S051210010644,1461.0,47.514158,-52.786746
2021S051210010645,383.0,47.519981,-52.787521
2021S051210010646,648.0,47.523207,-52.781451
2021S051210010647,467.0,47.520706,-52.796031
2021S051210010648,318.0,47.518863,-52.791467
2021S051210010649,309.0,47.517734,-52.796314
2021S051210010650,363.0,47.517538,-52.800813
2021S051210010651,1276.0,47.531524,-52.803869
2021S051210010652,458.0,47.529437,-52.80059
2021S051210010653,735.0,47.531606,-52.795083
2021S051210010654,479.0,47.50822,-52.806617
2021S051210010655,300.0,47.507449,-52.800135
2021S051210010656,686.0,47.504265,-52.799446
2021S051210010657,355.0,47.505829,-52.805381
2021S051210010658,356.0,47.505135,-52.809913
2021S051210010659,269.0,47.502492,-52.801827
2021S051210010660,210.0,47.499989,-52.804992
2021S051210010661,1064.0,47.49793,-52.802219
2021S051210010662,335.0,47.50003,-52.799665
2021S051210010663,324.0,47.502327,-52.793627
2021S051210010664,205.0,47.505093,-52.796769
2021S051210010666,492.0,47.486054,-52.977372
2021S051210010667,731.0,47.517208,-52.92461
2021S051210010668,605.0,47.511598,-52.912483
2021S051210010669,570.0,47.47198,-52.776445
2021S051210010670,564.0,47.457457,-52.780944
2021S051210010671,870.0,47.458315,-52.775701
2021S051210010672,389.0,47.455353,-52.77959
2021S051210010673,316.0,47.454665,-52.77467
2021S051210010674,354.0,47.453325,-52.780283
2021S051210010675,507.0,47.451432,-52.7816
2021S051210010676,771.0,47.444797,-52.76509
2021S051210010677,509.0,47.45781,-52.7684
2021S051210010678,639.0,47.481667,-52.732939
2021S051210010679,606.0,47.473544,-52.703017
2021S051210010680,341.0,47.466163,-52.706246
2021S051210010681,290.0,47.426172,-52.749281
2021S051210010682,0.0,47.539832,-52.674825
2021S051210010683,927.0,47.319877,-52.7984
2021S051210010684,639.0,47.322677,-52.821634
2021S051210010685,1132.0,47.283048,-52.838224
2021S051210010686,508.0,47.28301,-52.807232
2021S051210010687,119.0,47.28885,-52.869892
2021S051210010688,391.0,47.440092,-52.784252
2021S051210010689,845.0,47.366067,-53.125293
2021S051210010690,423.0,47.353038,-53.295168
2021S051210010691,425.0,47.498095,-53.285126
2021S051210010692,720.0,47.459154,-53.340354
2021S051210010693,35.0,47.539949,-53.386407
2021S051210010694,488.0,47.506123,-53.539682
2021S051210010695,579.0,47.561256,-53.545799
2021S051210010696,386.0,47.572491,-53.555613
2021S051210010697,598.0,47.582655,-53.536215
2021S051210010698,387.0,47.617587,-53.550536
2021S051210010699,441.0,47.635506,-53.504569
2021S051210010700,444.0,47.705885,-53.485199
2021S051210010701,351.0,47.695129,-53.476007
2021S051210010702,646.0,47.768643,-53.466168
2021S051210010703,184.0,47.816787,-53.439262
2021S051210010704,330.0,47.862509,-53.374587
2021S051210010705,200.0,47.907719,-53.358484
2021S051210010706,539.0,48.027273,-53.169019
2021S051210010707,436.0,47.951695,-53.322311
2021S051210010708,318.0,47.998807,-53.282138
2021S051210010709,387.0,47.642289,-53.787422
2021S051210010710,407.0,47.846158,-53.932572
2021S051210010711,208.0,47.822174,-53.981249
2021S051210010712,715.0,47.754698,-53.990465
2021S051210010713,249.0,47.761256,-53.983403
2021S051210010714,266.0,47.609482,-53.84293
2021S051210010715,213.0,47.671715,-53.837428
2021S051210010716,313.0,47.721214,-53.951265
2021S051210010717,647.0,47.561242,-53.684602
2021S051210010718,446.0,47.508021,-53.670276
2021S051210010719,723.0,47.496645,-53.576044
2021S051210010720,369.0,47.43239,-53.555148
2021S051210010721,586.0,47.421548,-53.524006
2021S051210010722,541.0,47.289015,-53.565488
2021S051210010723,103.0,47.220976,-53.560288
2021S051210010724,469.0,47.080851,-53.575976
2021S051210010725,97.0,47.016644,-53.599892
2021S051210010726,382.0,47.166442,-53.469848
2021S051210010727,86.0,47.093109,-53.520515
2021S051210010728,165.0,47.003208,-53.499604
2021S051210010729,313.0,46.912887,-53.561265
2021S051210010730,189.0,46.87987,-53.603918
2021S051210010731,263.0,46.777167,-53.60699
2021S051210010732,55.0,46.719622,-53.269008
2021S051210010733,55.0,46.633242,-53.583219
2021S051210010734,86.0,46.709837,-53.255124
2021S051210010735,254.0,46.730637,-53.366942
2021S051210010736,151.0,46.774762,-53.345015
2021S051210010737,299.0,47.096985,-52.903682
2021S051210010738,266.0,46.970386,-52.951566
2021S051210010739,49.0,46.97427,-52.919937
2021S051210010740,280.0,46.914125,-52.944815
2021S051210010741,720.0,47.199844,-52.881204
2021S051210010742,499.0,47.096349,-52.943308
2021S051210010743,354.0,47.20036,-52.859343
2021S051210010744,371.0,47.030295,-52.901532
2021S051210010745,74.0,47.010313,-52.945291
2021S051210010746,106.0,46.997012,-54.047264
2021S051210010747,177.0,46.885079,-53.954442
2021S051210010748,318.0,46.929001,-54.170972
2021S051210010749,87.0,46.81306,-54.109182
2021S051210010750,356.0,47.294301,-53.931612
2021S051210010751,185.0,47.428247,-53.837221
2021S051210010752,226.0,47.312495,-53.891773
2021S051210010753,479.0,47.271023,-53.876772
2021S051210010754,160.0,47.272839,-53.894293
2021S051210010755,198.0,47.268586,-53.910889
2021S051210010756,353.0,47.251637,-53.962871
2021S051210010757,245.0,47.244125,-53.959467
2021S051210010758,442.0,47.242247,-53.963738
2021S051210010759,221.0,47.253202,-53.978601
2021S051210010760,526.0,47.271268,-53.980547
2021S051210010761,665.0,47.220546,-53.908128
2021S051210010762,736.0,47.63283,-53.292718
2021S051210010763,0.0,47.642949,-53.261877
2021S051210010764,513.0,47.620951,-53.29173
2021S051210010765,434.0,47.613152,-53.278547
2021S051210010766,464.0,47.631769,-53.264529
2021S051210010767,483.0,47.607474,-53.295271
2021S051210010768,824.0,47.646706,-52.830211
2021S051210010769,1032.0,47.604642,-52.844892
2021S051210010770,531.0,47.61852,-52.840873
2021S051210010771,822.0,47.618369,-52.815573
2021S051210010772,780.0,47.646021,-52.804327
2021S051210010773,431.0,47.611895,-52.740686
2021S051210010774,274.0,47.613145,-52.726635
2021S051210010776,793.0,47.63436,-52.72936
2021S051210010777,791.0,47.639713,-52.705694
2021S051210010778,590.0,47.655054,-52.717296
2021S051210010779,410.0,47.64909,-52.739308
2021S051210010780,592.0,47.654188,-52.735001
2021S051210010781,1618.0,47.642986,-52.757711
2021S051210010782,496.0,47.657175,-52.745359
2021S051210010783,432.0,47.661629,-52.742456
