Name,longitude,latitude
Minnesota's Billiards Pub,-75.8851552,45.2995436
Walter Baker Skateboard Park,-75.9017447,45.2943207
Walter Baker Skateboard Park,-75.9017447,45.2943207
Bayshore Shopping Centre,-75.8068676,45.3470877
Innovation Skateboard Park,-75.9309822,45.3408246
Ottawa Turbo Tubing,-75.7563619,45.4092575
Bate Island,-75.756584,45.4086873
Royale Equestrian Centre,-75.7315315,45.3017284
Parking for Bike rides,-75.7528807,45.4043737
Stillwater Stables,-75.526803,45.3733219
West Park Bowling,-75.7304028,45.4004244
Stonecrest Rink,-75.7165718,45.2878416
Stittsville Skating Rink,-75.925041,45.2610452
Ben Franklin Skating Rink,-75.7639883,45.3442931
Bell Sensplex,-75.9093402,45.2972424
Skate & Play,-75.781612,45.3527744
Combermere Park Rink,-75.6144679,45.4596889
Rideau Canal Skateway,-75.6939477,45.4231893
Lansdowne Park Skating Rink,-75.6811734,45.4007295
4 Wheelies Ottawa Roller Skating Center,-75.781612,45.3527744
Rink of Dreams,-75.6902109,45.4214943
The Rig Boxing,-75.7298642,45.405293
Bruce Pit,-75.7997734,45.324238
Jack Pine Trail,-75.8156999,45.293294
Mud Lake Trail,-75.7915622,45.3688942
Old Quarry Trail,-75.8743715,45.3017654
Beaver Trail,-75.8209858,45.2997694
Shirleys Bay Trail,-75.8606567,45.3540923
Dewberry Trail,-75.5473673,45.4090109
Pine Grove Trail,-75.5928509,45.3549339
Trans Canada Trail - Stittsville,-75.9286651,45.2533938
Trans Canada Trail,-75.8651561,45.2970801
Lime Kiln Trail,-75.813764,45.287029
Flying Squirrel Trampoline Park,-75.599935,45.4156267
Ottawa Historical Fencing Society,-75.7146392,45.4078436
Xtreme Trampoline Park,-75.9167403,45.2992433
Laws of Motion - Trampoline - Tumbling - Parkour - Gymnastics,-75.6217664,45.4059234
Plant Recreation Centre,-75.7145949,45.4077523
Adrénaline plus,-75.8011324,45.4031015
Altitude Gym,-75.7368648,45.4468803
Trekfit Bamboo Jungle,-75.8977436,45.3027368
Cosmic Adventures,-75.6216506,45.4306413
Altitude Gym,-75.9113662,45.2978786
Starr Gymnastics & Parkour,-75.7977455,45.3451723
Nepean Putting Edge,-75.7248544,45.3389926
Merivale Bowling Centre,-75.7219898,45.3287425
Par-Tee Putt,-75.7092278,45.400436
Warren's Total Golf,-75.7751202,45.3235662
GOLFOMAX,-75.7788197,45.3537535
City View Curling Club,-75.7338027,45.3556213
Mulligans Golf Bar,-75.7003458,45.4209066
Blackbird Falls Putting Course,-75.9101415,45.3516483
Bad Axe Throwing Ottawa,-75.6243286,45.4114837
LumberJaxe: Axe Throwing Hall & Apparel,-75.7188617,45.4085209
BATL Axe Throwing,-75.610772,45.399075
Bytown Museum,-75.697673,45.425861
Canadian War Museum,-75.7169418,45.4171032
Canadian Museum of Nature / Musée canadien de la nature,-75.6886373,45.4127661
National Gallery of Canada,-75.6989062,45.429535
Bank of Canada Museum,-75.7019982,45.4214844
Museum of Classical Antiquities,-75.6869494,45.4238781
Canada Aviation and Space Museum,-75.6437866,45.4586167
Canada Science and Technology Museum,-75.6189059,45.4035099
Nepean Museum,-75.7414964,45.3491747
Silverwood's Golf and Lounge,-75.9102407,45.3105112
TD Place,-75.6840362,45.3988867
Parliament of Canada,-75.6999331,45.4251188
Royal Canadian Mint,-75.6992071,45.4313197
Ottawa Rowing Club,-75.700117,45.4347167
